family,strategy,top_k,triple_intersection,triple_union,triple_jaccard,cat_attr_jaccard,cat_rel_jaccard,attr_rel_jaccard,cat_attr_restricted_cos,cat_rel_restricted_cos,attr_rel_restricted_cos
pca_remove1,norm,32,22,44,0.5,0.5609756097560976,0.7297297297297297,0.6,-0.27921379480953107,-0.7512487643654583,-0.4940397057965797
global_residual,contrast_norm,32,22,43,0.5116279069767442,0.5609756097560976,0.7777777777777778,0.6,-0.23034155141181334,-0.7550417433625041,-0.526145804861484
global_residual,norm,32,22,43,0.5116279069767442,0.5609756097560976,0.7777777777777778,0.6,-0.23034155141181334,-0.7550417433625041,-0.526145804861484
raw,norm,32,22,43,0.5116279069767442,0.6842105263157895,0.5609756097560976,0.6842105263157895,0.8907158696542222,0.7656344339970773,0.835357028237369
pca_remove3,contrast_norm,32,23,43,0.5348837209302325,0.6,0.7777777777777778,0.6,0.007722270413850435,-0.12053629588674576,0.5392590657227996
pca_remove5,contrast_norm,32,23,43,0.5348837209302325,0.6,0.7777777777777778,0.6,0.007722270413850435,-0.12053629588674576,0.5392590657227996
contrast_l0p25,random,32,32,32,1.0,1.0,1.0,1.0,0.8500479931176349,0.6464794574572562,0.6940480558595474
contrast_l0p25,shared,32,32,32,1.0,1.0,1.0,1.0,0.7631653269236465,0.5069874214026353,0.6549252390299692
contrast_l0p5,random,32,32,32,1.0,1.0,1.0,1.0,0.6766679222236157,0.27491214468648656,0.350698692386057
contrast_l0p5,shared,32,32,32,1.0,1.0,1.0,1.0,0.4827031282551803,0.014456284184768322,0.25725094411615834
contrast_l0p75,random,32,32,32,1.0,1.0,1.0,1.0,0.2977011101681866,-0.3478880972049175,-0.25830284511031043
contrast_l0p75,shared,32,32,32,1.0,1.0,1.0,1.0,0.05332562244523889,-0.585698391428291,-0.2977598031796342
contrast_l1,random,32,32,32,1.0,1.0,1.0,1.0,-0.10436080587018591,-0.7379313445871458,-0.5941792737300585
contrast_l1,shared,32,32,32,1.0,1.0,1.0,1.0,-0.19043483639332784,-0.7472054249470105,-0.5101370953373912
global_residual,random,32,32,32,1.0,1.0,1.0,1.0,-0.11041048219825406,-0.7326958107887709,-0.5954981610267809
global_residual,shared,32,32,32,1.0,1.0,1.0,1.0,-0.196431833032839,-0.7466772358516799,-0.5055560392196132
headnorm_contrast_l0p25,random,32,32,32,1.0,1.0,1.0,1.0,0.8338787810513605,0.6066554936122985,0.7037037685541696
headnorm_contrast_l0p25,shared,32,32,32,1.0,1.0,1.0,1.0,0.4857860842912281,0.014691638730967125,0.14660115773987867
headnorm_contrast_l0p5,random,32,32,32,1.0,1.0,1.0,1.0,0.6424985268871722,0.2109039063791971,0.38879758941805526
headnorm_contrast_l0p5,shared,32,32,32,1.0,1.0,1.0,1.0,0.22074988262232165,-0.36445346196525463,-0.21240619015266093
headnorm_contrast_l0p75,random,32,32,32,1.0,1.0,1.0,1.0,0.2490630465821619,-0.4178088649672244,-0.17463586246468016
headnorm_contrast_l0p75,shared,32,32,32,1.0,1.0,1.0,1.0,-0.03287467594246189,-0.6324509741025952,-0.4959804993039473
headnorm_contrast_l1,random,32,32,32,1.0,1.0,1.0,1.0,-0.0945123595286592,-0.7596987750725752,-0.5755634648493066
headnorm_contrast_l1,shared,32,32,32,1.0,1.0,1.0,1.0,-0.1612547851891545,-0.6980615537396975,-0.5941007742666692
pca_remove1,random,32,32,32,1.0,1.0,1.0,1.0,-0.1490199637246093,-0.7252899018501909,-0.5726737555372047
pca_remove1,shared,32,32,32,1.0,1.0,1.0,1.0,-0.23528688091168262,-0.7408814494140844,-0.4784608687993605
pca_remove2,contrast_norm,32,32,32,1.0,1.0,1.0,1.0,-1.0000001321779919,0.9999996739374061,-0.9999996113378199
